userId,Reputation,Views,UpVotes,DownVotes,postId,Score,usereId,ViewCount,CommentCount
2,101,25,3,0,2,22,24,8198,1
3,101,22,19,0,3,54,18,3613,4
4,101,11,0,0,4,13,23,5224,2
5,6792,1145,662,5,5,81,23,0,3
6,457,114,47,0,6,152,5,29229,5
7,429,56,20,0,7,76,38,5808,3
8,6764,1089,604,25,8,0,37,288,2
10,121,20,2,0,10,23,24,21925,4
11,136,10,10,0,11,2,34,224,2
12,101,10,5,0,12,20,5,0,1
13,817,178,44,1,13,14,23,0,4
15,11,8,0,0,15,13,6,0,0
16,101,4,7,0,16,16,8,0,3
17,345,14,13,1,17,9,0,1261,0
18,128,8,16,0,18,31,36,0,1
19,101,13,2,0,19,12,55,0,0
21,101,6,0,0,21,4,59,184,1
22,591,90,693,6,22,102,66,21916,1
23,308,52,34,1,23,10,69,7694,1
24,344,48,36,1,24,17,61,0,0
25,4968,641,328,23,25,7,69,2095,4
26,3150,257,138,7,26,18,75,3476,14
27,101,10,2,0,27,4,68,0,0
29,2250,318,28,1,29,5,36,0,0
30,2185,312,40,3,30,7,69,705,2
33,221,11,2,0,33,5,69,1428,1
34,185,27,23,0,34,3,79,0,0
35,101,4,9,0,35,10,54,1223,0
36,1570,173,26,1,36,41,8,67396,7
38,133,15,1,0,38,2,61,0,2
39,1651,255,12,0,39,4,59,210,0
40,41,8,2,0,40,8,69,491,1
41,611,83,12,0,41,8,83,0,0
43,101,1,1,1,43,7,74,0,5
46,111,350,59,15,46,0,62,0,2
47,1,19,0,0,47,7,22,312,2
50,101,3,3,0,50,18,62,2414,4
51,101,0,1,0,51,1,68,120,0
52,861,62,12,0,52,7,36,0,0
53,138,8,7,0,53,40,17,25962,4
54,360,18,21,2,54,11,55,497,5
55,366,16,48,1,55,7,56,0,0
56,563,64,10,0,56,56,0,0,7
57,126,7,93,0,57,2,69,0,4
58,123,19,3,0,58,10,68,1667,0
59,402,82,51,0,59,24,39,0,1
60,101,8,1,1,60,1,41,0,1
61,1956,147,39,4,61,22,74,0,5
62,549,90,13,3,62,4,58,124,0
64,136,11,4,0,64,6,5,0,0
65,101,8,4,0,65,14,8,0,3
66,614,102,12,0,66,5,41,0,0
67,101,4,0,0,67,2,36,0,0
69,530,174,630,6,69,3,56,0,0
71,1936,328,2317,1,71,2,36,0,0
72,800,77,58,0,72,6,96,0,0
74,2316,1126,74,65,74,25,88,0,0
75,321,44,4,0,75,5,69,754,4
76,101,3,9,0,76,22,5,0,3
77,260,8,36,0,77,16,74,0,7
78,123,4,4,0,78,33,8,0,4
79,212,10,5,0,79,4,25,0,1
80,211,16,7,0,80,8,93,0,2
81,1307,80,86,0,81,7,69,0,0
83,804,64,11,0,83,2,5,0,0
84,101,3,10,0,84,6,41,0,0
85,176,25,3,0,85,15,87,0,2
89,1281,105,61,4,89,5,55,0,0
90,561,287,27,0,90,3,22,0,0
91,101,8,0,0,91,10,87,0,0
93,96,3,2,0,93,5,61,412,3
94,111,15,6,0,94,5,88,0,0
96,441,80,18,0,96,4,5,0,0
98,291,24,141,1,98,10,39,0,0
99,151,42,3,0,99,7,88,0,1
101,502,49,109,0,101,40,0,0,6
102,101,5,4,0,102,1,22,0,0
103,261,34,41,1,103,28,5,1990,6
104,146,26,23,0,104,16,74,0,0
105,101,0,0,0,105,19,46,0,1
107,160,14,20,3,107,11,46,0,0
108,305,171,4,0,108,14,5,0,1
110,443,59,9,1,110,3,61,0,2
111,101,2,1,0,111,8,8,0,3
112,101,0,0,0,112,2,12,0,0
113,101,0,0,0,113,9,39,413,5
114,708,61,44,1,114,30,8,1220,1
115,101,8,0,0,115,1,127,0,0
116,101,2,9,0,116,12,72,0,4
117,123,4,1,0,117,25,36,0,1
118,473,60,46,0,118,122,83,39118,11
119,139,12,0,0,119,6,88,0,3
120,101,3,1,0,120,39,41,0,4
121,101,4,3,0,121,71,61,0,6
123,101,56,21,0,123,13,130,0,0
124,121,8,8,0,124,23,131,1131,0
125,391,31,0,0,125,75,5,29261,2
126,101,1,0,0,126,26,5,0,4
127,236,46,29,1,127,18,61,0,2
128,166,19,22,0,128,3,132,12626,0
129,101,8,9,0,129,4,8,0,0
130,241,24,2,0,130,30,90,7111,10
131,216,14,6,0,131,23,5,0,0
132,33,8,2,0,132,6,22,0,0
133,116,6,2,1,133,0,139,0,2
134,101,0,1,1,134,10,138,4572,6
135,101,1,2,0,135,7,39,0,3
138,231,24,20,0,138,67,142,14326,4
139,758,241,41,0,139,21,5,0,2
140,1,4,4,0,140,7,88,0,0
141,101,0,0,0,141,2,142,0,0
142,185,19,10,0,142,5,8,0,0
143,101,1,0,0,143,5,88,0,2
144,1396,269,477,1,144,17,22,0,0
145,99,8,4,0,145,4,138,2287,4
147,101,1,0,0,147,4,142,0,0
148,228,11,12,0,148,4,130,0,0
151,101,9,0,0,151,60,81,0,4
152,101,1,0,0,152,9,0,1008,2
153,101,3,0,0,153,6,145,0,1
154,321,23,6,0,154,20,108,0,3
155,101,1,2,0,155,27,154,3293,2
156,101,0,0,0,156,2,148,233,0
159,18283,3781,1014,59,159,8,145,0,0
160,101,2,0,0,160,1,158,0,0
161,101,1,8,0,161,9,154,2304,0
162,101,2,1,0,162,14,74,0,4
163,276,12,1,0,163,5,81,0,6
164,101,3,2,0,164,2,158,0,0
165,36,2,1,0,165,56,74,22890,3
166,118,3,7,0,166,10,154,12304,0
167,101,21,0,0,167,10,159,0,4
168,147,61,8,1,168,17,8,1022,1
169,113,19,5,0,169,2,159,0,0
170,208,52,48,1,170,56,8,7733,1
171,171,9,0,0,171,8,159,0,0
172,564,113,15,0,172,10,74,0,1
173,453,39,15,0,173,15,71,2519,0
174,792,78,163,4,174,35,159,0,0
175,236,46,53,0,175,29,13,28291,1
176,101,0,0,0,176,18,81,0,2
177,101,0,0,0,177,22,159,0,2
178,11,2,8,0,178,9,74,0,0
179,1416,147,352,10,179,12,159,0,0
180,101,0,0,0,180,4,90,0,0
181,101,6,60,0,181,50,159,39097,0
183,22625,4069,2496,45,183,3,166,753,1
184,101,3,3,0,184,6,159,0,0
187,446,69,6,0,187,3,119,0,0
188,211,19,2,0,188,21,61,0,4
189,205,17,0,0,189,4,173,0,2
190,1166,146,482,24,190,7,25,0,0
191,313,16,8,0,191,3,173,0,0
193,101,0,1,0,193,6,0,0,0
194,38,7,4,0,194,6,175,838,2
195,101,7,0,0,195,5,173,506,0
196,6140,649,497,114,196,19,87,4090,2
197,138,5,21,1,197,9,5,0,1
198,908,42,69,0,198,3,61,0,0
199,1815,188,149,3,199,4,5,0,0
200,128,24,9,0,200,13,174,0,3
202,101,3,0,0,202,11,183,0,0
203,101,1,1,0,203,16,183,6033,2
204,101,0,4,0,204,7,183,0,2
206,101,0,2,0,206,13,188,70255,1
207,101,4,0,0,207,48,0,0,0
210,337,47,32,1,210,9,183,0,3
211,586,11,0,0,211,6,187,0,0
212,101,1,11,1,212,3,190,430,0
213,63,9,1,0,213,51,159,9772,3
214,266,31,29,0,214,4,40,0,0
215,2496,384,5,0,215,1,187,0,2
216,31,4,0,0,216,9,191,483,0
217,522,111,16,1,217,6,5,0,4
218,121,9,12,0,218,2,187,0,0
219,184,119,2,0,219,3,154,0,3
220,248,34,11,0,220,14,85,9481,2
221,615,77,95,0,221,15,159,0,2
222,101,3,3,0,222,26,191,36801,1
223,4022,1471,345,19,223,5,79,291,5
225,101,6,0,0,225,7,196,617,2
226,1293,266,55,0,226,12,173,0,2
227,226,4,71,0,227,2,144,0,1
228,121,4,9,0,228,2,10,0,0
229,629,64,65,0,229,10,159,0,2
230,1233,106,170,2,230,5,173,0,0
232,101,0,4,0,232,12,103,0,2
235,101,5,0,0,235,4,13,0,0
236,221,9,8,0,236,0,138,0,0
240,281,31,8,0,240,4,114,0,1
241,101,0,0,0,241,5,196,0,1
246,101,9,0,1,246,6,198,0,0
247,898,104,82,3,247,2,171,0,1
248,101,0,1,0,248,4,211,0,0
250,131,6,9,0,250,5,171,0,5
252,315,40,8,0,252,5,81,0,3
253,5309,1147,1160,5,253,7,215,0,0
254,101,0,3,0,254,4,8,0,3
255,195,11,32,0,255,8,88,0,1
256,171,6,2,0,256,14,217,1422,0
257,121,2,2,0,257,14,217,6700,1
258,101,1,9,0,258,14,217,780,0
259,138,6,3,0,259,12,217,0,5
260,526,24,2,0,260,12,217,0,1
261,442,84,30,2,261,12,159,0,4
263,101,4,0,0,263,8,190,0,6
264,4701,839,1408,55,264,5,217,0,0
266,1272,335,108,1,266,3,128,0,0
267,91,17,4,0,267,7,194,4254,1
268,101,4,1,0,268,3,107,0,1
270,229,25,4,0,270,12,90,1291,0
273,1384,87,17,0,273,1,216,0,0
275,101,0,0,0,275,5,88,0,0
276,201,17,10,0,276,8,90,1517,0
277,131,22,1,0,277,12,215,3033,0
278,101,7,0,0,278,6,221,120,1
279,6176,374,578,8,279,9,62,0,0
280,101,1,27,0,280,4,221,0,0
281,101,1,0,0,281,2,215,0,0
282,101,7,2,0,282,23,81,0,3
283,118,5,23,0,283,22,215,13685,0
284,190,10,191,0,284,1,215,0,1
285,223,6,3,0,285,1,183,0,1
287,847,73,19,0,287,7,90,1068,1
288,86,3,9,0,288,5,220,1093,0
290,129,127,8,4,290,6,189,811,1
291,251,17,51,0,291,7,211,0,0
292,138,13,15,4,292,2,56,0,0
293,101,0,0,0,293,4,211,0,1
297,103,2,17,0,297,5,56,0,0
298,111,6,2,0,298,55,125,67592,4
300,524,44,223,0,300,4,56,0,0
301,155,6,6,1,301,6,8,0,7
302,246,36,17,1,302,1,196,0,2
303,238,140,1,1,303,2,0,0,2
305,118,24,4,0,305,27,196,2939,0
307,4829,1088,692,3,307,13,229,0,3
308,101,3,0,0,308,1,22,0,0
310,101,0,0,0,310,1,0,0,5
311,101,1,0,0,311,7,89,0,1
314,101,1,0,0,314,11,5,0,1
315,611,49,2,0,315,5,36,0,0
316,101,0,0,0,316,7,36,0,1
317,81,24,0,0,317,18,56,0,0
319,1994,523,62,0,319,15,71,0,2
320,101,0,3,0,320,14,61,0,0
322,101,0,0,0,322,11,3807,1449,0
326,101,5,5,0,326,12,3807,0,1
327,303,36,0,0,327,1,3807,0,0
329,101,1,0,0,329,11,5,0,0
333,1233,104,75,4,333,3,74,0,3
338,126,2,0,0,338,7,89,0,2
339,3039,363,125,0,339,1,218,0,6
340,101,4,0,0,340,5,74,0,0
344,101,0,0,0,344,3,88,0,2
346,101,0,4,0,346,26,247,4873,2
347,101,0,0,0,347,2,15,0,0
350,101,1,2,0,350,1,178,0,0
351,101,8,1,0,351,4,16,0,0
352,793,99,236,2,352,1,8,0,1
353,101,6,2,0,353,11,61,0,1
354,101,1,3,0,354,8,3807,676,0
357,101,0,3,0,357,5,3807,0,5
358,51,4,12,0,358,6,88,0,4
360,101,1,0,0,360,4,88,0,2
362,101,0,0,1,362,14,196,25597,0
365,101,1,2,0,365,4,226,0,0
366,21,14,0,0,366,1,226,0,0
367,111,0,0,0,367,17,90,0,1
368,369,18,5,0,368,2,0,0,2
369,29,1,0,0,369,6,191,485,0
371,101,1,0,0,371,15,34,0,2
373,101,1,13,0,373,24,252,1439,2
374,101,1,0,0,374,6,252,273,0
375,529,46,9,0,375,7,252,437,1
377,101,2,0,0,377,7,173,0,0
378,316,6,2,0,378,11,68,0,0
380,101,2,4,0,380,3,88,0,0
381,101,0,1,0,381,6,223,0,0
382,101,0,0,0,382,3,190,0,0
383,101,1,3,0,383,3,251,0,0
384,101,0,0,0,384,1,190,0,0
